save-w0NW92KM78KWBE0G4rrPj3weXv7kcBaf,0.99726776,
save-Oc3QRlxMk5IHv0j7BuoSlznbhMTYwF85,0.996315402,actual
save-xuSatqSZG9rKxJ09Usis48LRdeI8ZTOz,0.976494845,
save-ybaBhC5IZHWVX1xyinkxVtVnMF11r0B5,1,
save-K53uRwFasSherqvr3tXvaOA0p0OBf69n,0.998106061,The reverb/echo at the end sounds roomier
save-Vs8cvRzQUFYYphS2oUfsXiXPnYwxcqAo,0.999445676,
save-fI2BNvBZtNECJfOIyV4hgUrFooCFwBVw,0.914961637,
save-GuWHIjK5PP6lGGl423thcBtp3EnQM6e7,0.916901408,
save-nIVXjfroK2WcvaVnMbDobLbiBmBePRUg,0.838274933,
save-wQkwuqI4NETVMhiWDjC42SWOp0OLf48K,0.672453704,
save-8hiHtiRQdR9gr1MyN477mwVCz0gvi86G,1,
save-5PTXFAXtbUKgS3RSiKpHZ6c5rSyoS2t0,1,Very much sounded like thunder
save-BkyduHMjaETdkTS6KmbN3o3lozAf4lwB,0.991408935,
save-0uILqdUmioVKKsVNoNnSzIOwEoPrE9aI,0.756042296,Less low end than expected for thunder. Crackle sounds accurate though. 
save-d809BhETvuIdpqdvpi3qhf5hqPeR0SOJ,0.908456844,
save-wOs7qSDAXin7bPImA1PAKJDKvIQzja7v,0.290709291,
save-dYpqsOtXOp7ZpcOiTwssOqMFJrZi9i6I,0.986696231,
save-E7PltATh5CjwnKFbanUgPwM0DWW1zt4M,0.736704446,
save-oj471Fz15kRE1vdtYOdrTofPbDO18Uqq,0.840743735,
save-sMlNuZFqAXIuhB866mWIlBd1d6nUqxD5,0.493478261,Good pattern and deeper sound quality 
save-rXgR3counAsaSeFSuqLz0V2egDAFotFS,0.9976,
save-wEOqcidiSvskrnQM5vAcMZnbyMzGQsUo,0.90407855,
save-46EJxun7JAJwUL46dH4eZ36ArFVS8CPP,0.96223565,Very natural
save-Q9NBAL5Zb03787J4Hi8Q4nBebQGjdrK3,0.931690141,
save-cO37nZz0ml0P6MJD7VPE3Pibl041kqXF,0.699006875,just enough crackle
save-ExBcYKkPisgtkPx0UQtZd55f0vJGXN5e,0.78125,
save-Uk0IWQduH9FKSMb5Q2PUDzjJdKQYVYDO,0.810945274,Believable explosion and decay
save-mENl7OP7jmMjvOG2QM9gNL7Tnwg7dKjb,0.999244713,
save-yFdur5qBidiSvYh16dAiPcLHVMfr5Q2q,1,
save-6W0Upue4iwLQMUJBwmk8ClPFM12Uvcui,0.729348556,"Most natural.  tail, like all the others is a bit too long."
save-638d2zlXsl88ulZwZRK3hF9dbqxWG4dm,1,very plausible thunder sound
save-Sgd37FVEqS51d9hi7huT5NeeYcmi726Q,0.405515004,
save-9YXH20hCaFlfez0GA4AFruYf7jrkdi9J,0.992709599,
save-qvMChwHZGowwdj65LURkWnCzJSlSsnPH,0.994481913,Very convincing (written just after a thunderstorm passed over Ealing).
save-1hEerJuqCwDWkz6Drqy346FiD74oj7mH,1,
save-NOPqOCHwh4PtWfvL58FwrYkjF79EEVKJ,0.586450247,it goes on for too long and a bit too regular
save-zyQCdI1kUy1XFruvJegazWPEFVxvPbXt,0.966197183,
save-L7x6KmDiNQvztet5W3FFRkbTPRR5NKn2,0.629711752,
save-soWuS57YCgvCe7oplvva23cBBaQFHgrJ,0.6904,
save-MLzU0ljU7arxWDBUe4cGFKFFfgfPDZow,0.883161512,
save-gYgeH5fgxFcsqCTgNFX6cflE2pZYUNov,0.9544,
save-XJh80p8pPtpt3vptMxAuwXzNVIBUxcfc,0.919847328,
save-wAfocEL9abnv8JLPnG3zgKkZCw1Fn2yn,0.793806647,
save-9UPDsES4rqdCJ5znnUVOQElLdmgLgSqI,0.625269978,
save-CYeCKVSBylcGBvOF0XTikMK23kDmF1lF,0.201298701,
save-BkTPXhfVbn4MgDaaVHVwHQOpxjFnB7k4,0.905210643,
save-GMxogdJ8ITJG7AW3AFULrzQV1krHM0zU,0.996119734,
save-bk6N4MkG6elbucqIxg7Itue99hvl3gEU,0.619626926,
save-xdowISiNDzpcTewxrvVxVYSt7nmcGzic,0.932130584,Most realistic
save-qUw1DOuzoulobfxt2otfumTeQ5dteZsu,1,
save-Swx5SIthAINT4lRPfkwmbZaIEIRal0hQ,0.98487395,"I have a recording of a thunder clap that sounds very like this, the decaying effect is very convincing"
save-fPBQbM4Rbxw6Rbi1zI0xYwESNgJvvSqH,0.553163731,